generation	variant	commit	status	lines	classes	methods	ast_nodes	cyclomatic	combined_score	gini	population	trade_price	trade_volume	survival	wealth_cv	entropy	passes	description
1	1	1e30572	crash	37	1	5	1598	47	667.40	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the trade logic by using a ratio-based utility comparison and streamlined the Marginal Rate of Substitution (MRS) calculation to reduce AST nodes and cyclomatic complexity.
1	1	1e30572	crash	36	1	5	1564	50	655.60	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified movement search using a walrus operator to reduce redundant distance calculations, streamlined the Marginal Rate of Substitution (MRS) formula, and replaced the heavy utility-based trade check with a mathematically equivalent ratio-based comparison to reduce AST nodes and cyclomatic compl
1	1	1e30572	crash	34	1	5	1431	48	601.20	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified movement tie-breaking using a tuple-based `max()` and streamlined the trade logic by removing redundant utility checks and the `math` dependency.
1	1	1e30572	fail	37	1	5	1579	47	659.80	0.3755	67	1.0136	4956	0.3350	0.6639	2.8707	FAIL	Simplified movement by using a tuple-based `max()` to eliminate the `lambda` tie-breaker and streamlined trade logic by removing the `s, b` role-swapping and `math` dependencies, using a direct `if mrs_a > mrs_o` check instead.
1	1	1e30572	pass	34	1	5	1621	50	678.40	0.3348	67	0.9764	6063	0.3367	0.5850	3.1251	PASS	Simplified movement tie-breaking by using a random value in the search tuple and reduced cyclomatic complexity in the trade loop by combining conditional break statements.
2	1	163f1af	fail	36	1	5	1636	50	684.40	0.3419	69	0.9886	5978	0.3433	0.5978	3.1070	FAIL	Inlined metabolism exponents and streamlined the trade logic by combining conditional checks and simplifying the Marginal Rate of Substitution (MRS) calculation to reduce AST nodes and cyclomatic complexity.
2	1	163f1af	fail	35	1	5	1632	48	681.60	0.3553	66	0.9913	5450	0.3300	0.6266	2.8738	FAIL	Simplified the movement tie-breaker by removing the random component, pre-calculated movement exponents to reduce AST nodes, and streamlined the trade logic by simplifying the Marginal Rate of Substitution (MRS) formula and reducing the complexity of the conditional break statements.
2	1	163f1af	fail	34	1	5	1582	44	659.20	0.3655	68	0.9791	5693	0.3417	0.6457	2.9646	FAIL	Simplified the agent update cycle by using a single `living` list for both movement and trade, removed the `math` dependency in favor of power operators, and streamlined the trade and movement logic to reduce nested conditionals and redundant calculations.
2	1	163f1af	fail	37	1	5	1629	50	681.60	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Streamlined the `step` method by removing the `math` dependency, simplifying the MRS and utility calculations, and flattening the trade neighbor search to reduce AST nodes and cyclomatic complexity.
2	1	163f1af	fail	33	1	5	1543	50	647.20	0.3746	66	0.9875	5977	0.3300	0.6647	2.9955	FAIL	Consolidate agent attributes by pre-calculating metabolism exponents and streamline the `step` method by combining trade conditional breaks and using vectorized resource consumption.
2	1	163f1af	fail	34	1	5	1630	47	680.20	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Simplified the trade logic by removing the `math` dependency, using a more compact MRS calculation, and streamlining the `while` loop conditions and utility checks to reduce AST nodes and cyclomatic complexity.
2	1	163f1af	fail	43	1	5	1632	49	682.20	0.3544	66	0.9902	5399	0.3283	0.6254	2.9015	FAIL	Simplified the movement search by replacing the complex list comprehension with a more structured loop to reduce AST nodes, removed the `math` dependency to reduce structural complexity, and streamlined the trade loop by using power operators and a more direct utility check.
2	1	163f1af	crash	33	1	5	1559	50	653.60	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the trade logic by replacing the heavy utility calculations with a ratio-based comparison and inlining metabolic sums, and streamlined the movement search by removing redundant distance checks.
2	1	163f1af	crash	34	1	5	1583	46	660.80	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the movement search by removing the random tie-breaker and replaced the high-complexity `while` loop in the trade logic with a bounded `for` loop to reduce cyclomatic complexity and AST nodes.
2	1	163f1af	fail	38	1	5	1561	45	651.40	0.3539	70	0.9263	5845	0.3483	0.6180	3.1685	FAIL	Simplified the trade loop by streamlining Marginal Rate of Substitution (MRS) and utility calculations, removing the `math` dependency, and consolidating conditional checks to reduce cyclomatic complexity and AST nodes.
2	1	163f1af	fail	37	1	5	1597	47	667.00	0.3463	68	0.9731	5305	0.3417	0.6053	3.1709	FAIL	Simplified movement utility calculation by pre-calculating exponents and streamlined the trade loop by removing role-swapping logic and consolidating conditional breaks.
2	1	163f1af	fail	32	1	5	1634	50	683.60	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Simplified the trade logic by removing the `math` dependency, streamlining the Marginal Rate of Substitution (MRS) and utility calculations, and combining conditional break statements to reduce cyclomatic complexity and AST nodes.
2	1	163f1af	fail	33	1	5	1542	46	644.40	0.3483	73	1.0110	4926	0.3650	0.6125	2.8736	FAIL	Simplified agent initialization using vectorized `rng.integers`, streamlined the movement search by removing redundant distance checks, and reduced cyclomatic complexity in the trade loop by merging conditional break statements and replacing the nested `while` loop's logic with more compact expressi
2	1	163f1af	crash	33	1	5	1544	47	645.80	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the trade logic by using a ratio-based utility comparison to reduce AST nodes and removed the `math` dependency to reduce structural complexity.
2	1	163f1af	crash	36	1	5	1578	46	658.80	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Streamlined the movement search and trade logic by pre-calculating metabolic exponents, simplifying the Marginal Rate of Substitution (MRS) formula, and replacing complex conditional branches with more direct mathematical expressions to reduce AST nodes and cyclomatic complexity.
2	1	163f1af	pass	32	1	5	1620	50	678.00	0.3348	67	0.9764	6063	0.3367	0.5850	3.1251	PASS	Consolidated trade loop conditional branches and simplified MRS comparison to reduce cyclomatic complexity and AST nodes.
3	1	29de897	crash	36	1	5	1379	44	578.00	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the trade logic by removing the complex utility-based `if` condition and replacing it with a resource-based check, and streamlined the movement search by removing the random tie-breaker and simplifying the Marginal Rate of Substitution (MRS) calculation.
3	1	29de897	fail	33	1	5	1580	47	660.20	0.3553	66	0.9913	5450	0.3300	0.6266	2.8738	FAIL	Streamlined the `step` method by replacing nested loops with list comprehensions, inlining agent attribute access, and removing the `math` dependency to reduce cyclomatic complexity and AST nodes.
3	1	29de897	fail	33	1	5	1589	47	663.80	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Streamlined agent initialization, pre-calculated movement exponents, and simplified the trade condition and neighbor search to reduce AST nodes and cyclomatic complexity.
3	1	29de897	fail	32	1	5	1553	47	649.40	0.3419	69	0.9886	5978	0.3433	0.5978	3.1070	FAIL	Simplified agent initialization using vectorized `rng.integers`, optimized movement utility by removing redundant division in exponents, and streamlined trade logic by simplifying MRS calculations and removing redundant safety checks.
3	1	29de897	crash	32	1	5	1530	45	639.00	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified agent initialization using vectorized `rng.integers`, reduced movement tie-breaking complexity, and streamlined trade conditional branches to reduce AST nodes and cyclomatic complexity.
3	1	29de897	fail	32	1	5	1571	47	656.60	0.3421	59	1.1125	4417	0.2950	0.6022	2.8253	FAIL	Simplified movement tie-breaking, streamlined the trade condition by removing redundant MRS/utility checks, and preserved the original's specific MRS calculation logic.
3	1	29de897	fail	32	1	5	1555	44	648.40	0.3483	73	1.0110	4926	0.3650	0.6125	2.8736	FAIL	Streamlined the `step` method by removing the `math` dependency, simplifying the movement search by removing redundant distance checks, and condensing the trade negotiation's conditional logic and resource checks to reduce AST nodes and cyclomatic complexity.
3	1	29de897	fail	32	1	5	1570	47	656.20	0.3491	59	1.0888	4895	0.2933	0.6156	2.7773	FAIL	Simplified movement tie-breaking, removed `math` dependency, and streamlined the trade negotiation conditional logic.
3	1	29de897	fail	32	1	5	1595	48	666.80	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Simplified movement and trade search by removing redundant boundary and distance checks, and removed the `math` dependency to reduce AST nodes and cyclomatic complexity.
3	1	29de897	fail	32	1	5	1587	45	661.80	0.3494	61	1.0906	4972	0.3050	0.6140	2.8489	FAIL	Simplified the agent update cycle by consolidating the `living` list creation, removed redundant tie-breaker logic in movement, and streamlined the trade negotiation by simplifying MRS and utility calculations.
3	1	29de897	fail	38	1	5	1629	48	680.40	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Streamlined the `step` method by pre-calculating movement exponents, simplifying the movement search by removing redundant distance checks, and optimizing the trade loop's conditional checks and mathematical operations.
3	1	29de897	fail	32	1	5	1594	45	664.60	0.3553	66	0.9913	5450	0.3300	0.6266	2.8738	FAIL	Simplified the movement tie-breaker by removing the random component, streamlined the Marginal Rate of Substitution (MRS) and utility calculations, and condensed the trade negotiation logic and resource checks to reduce AST nodes and cyclomatic complexity.
3	1	29de897	fail	32	1	5	1582	47	661.00	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Streamlined the `step` method by removing the `math` dependency, simplifying the Marginal Rate of Substitution (MRS) formula, and consolidating the trade negotiation's conditional logic to reduce AST nodes and cyclomatic complexity.
3	1	29de897	fail	32	1	5	1590	44	662.40	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Streamlined the `step` method by removing the `math` dependency, simplifying the Marginal Rate of Substitution (MRS) calculation, and pruning redundant conditional checks in the trade negotiation loop.
3	1	29de897	fail	46	1	5	1567	43	652.60	0.3576	73	0.9777	7122	0.3633	0.6280	3.1404	FAIL	Streamlined the `step` method by replacing the high-AST movement comprehension with a nested loop and simplifying the trade negotiation logic and MRS calculations to reduce cyclomatic complexity and structural depth.
3	1	29de897	crash	32	1	5	-1	-1	inf	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified movement using a generator with `max(..., default=None)` to reduce AST nodes, streamlined the Marginal Rate of Substitution (MRS) and utility calculations, and optimized agent initialization.
3	1	29de897	fail	40	1	5	1637	50	684.80	0.3467	67	1.0227	5987	0.3333	0.6063	2.9787	FAIL	Simplified agent initialization, pre-calculated movement and trade exponents to reduce redundant math, and streamlined the trade negotiation logic to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	33	1	5	1569	48	656.40	0.3746	66	0.9875	5977	0.3300	0.6647	2.9955	FAIL	Pre-calculated metabolism exponents and simplified trade MRS/utility calculations to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	34	1	5	1537	49	644.20	0.3664	65	0.9825	6010	0.3267	0.6512	3.0155	FAIL	Pre-calculated metabolism exponents and streamlined trade negotiation utility checks to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	34	1	5	1547	47	647.00	0.3651	61	0.9696	5920	0.3067	0.6479	2.9855	FAIL	Simplified the agent structure by pre-calculating metabolism exponents and streamlined the trade logic by removing redundant MRS and safety checks to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	31	1	5	1598	48	668.00	0.3336	65	0.9863	5930	0.3250	0.5836	2.8849	FAIL	Simplified the `step` method by removing the redundant second shuffle of living agents and streamlining the trade neighbor search using a generator expression, while also simplifying the movement search and the trade's conditional break statement to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	32	1	5	1573	47	657.40	0.3379	58	1.1007	5158	0.2900	0.5945	2.6245	FAIL	Simplified movement by removing tie-breaker components (distance and randomness) and streamlined trade logic by removing redundant MRS-based conditional checks.
1	1	29de897	crash	33	1	5	1544	49	647.00	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the trade negotiation logic by using a mathematical identity for utility comparison and reduced the number of conditional branches in the trade loop to lower cyclomatic complexity and AST nodes.
1	1	29de897	fail	34	1	5	1604	47	669.80	0.3544	66	0.9902	5399	0.3283	0.6254	2.9015	FAIL	Simplified the movement tie-breaker by removing the random component, removed the `math` dependency in favor of power operators, and streamlined the trade negotiation by removing redundant MRS and utility-based conditional checks.
1	1	29de897	fail	32	1	5	1374	46	577.20	0.3331	57	1.0250	40900	0.2867	0.5847	2.6646	FAIL	Simplified the trade negotiation by removing redundant utility-based safety checks in favor of a direct MRS-based condition and removed the `math` dependency to reduce structural complexity.
1	1	29de897	fail	35	1	5	1591	44	662.80	0.3562	68	0.9519	5983	0.3400	0.6231	3.1101	FAIL	Simplified the agent update cycle by shuffling the entire agent list instead of creating separate `living` lists, removed the `math` dependency, and condensed the trade negotiation logic by pruning redundant conditional checks.
1	1	29de897	fail	32	1	5	1595	49	667.40	0.3340	66	0.9921	6102	0.3317	0.5835	2.8970	FAIL	Consolidated agent lifecycle by using a single shuffled `living` list for both movement and trade, removed the `math` dependency, and streamlined the trade neighbor search to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	32	1	5	1600	44	666.40	0.3340	66	0.9921	6102	0.3317	0.5835	2.8970	FAIL	Simplified the agent update cycle by merging the `living` list creation and shuffling, and reduced the complexity of the trade negotiation by simplifying the Marginal Rate of Substitution (MRS) calculation and the `while` loop conditions.
1	1	29de897	fail	33	1	5	1623	48	678.00	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Simplified the Marginal Rate of Substitution (MRS) calculation, removed the `math` dependency, and condensed the trade negotiation's conditional break statements to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	32	1	5	1588	48	664.00	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Simplified agent initialization using a single vectorized `rng.integers` call and streamlined the trade loop by removing the `math` dependency and consolidating metabolic sum calculations.
1	1	29de897	fail	33	1	4	1608	47	671.40	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Simplified the trade negotiation logic by removing the `math` dependency, streamlining the Marginal Rate of Substitution (MRS) and utility calculations, and reducing the complexity of the conditional break statements within the trade loop.
1	1	29de897	crash	34	1	5	-1	-1	inf	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified movement tie-breaking by removing the random component, replaced `math.sqrt` with the power operator, and flattened the trade neighbor search from a list comprehension to nested loops to reduce AST nodes.
1	1	29de897	fail	32	1	5	1588	48	664.00	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Simplified the `step` method by removing the `math` dependency, streamlining the Marginal Rate of Substitution (MRS) calculation, simplifying the trade negotiation's conditional break statements, and using vectorized numpy slicing to reset resources.
1	1	29de897	fail	32	1	5	1585	48	662.80	0.3431	66	0.9919	5406	0.3300	0.6006	2.9923	FAIL	Simplified agent initialization using vectorized `rng.integers`, removed `math` dependency in favor of power operators, consolidated the `living` list creation, and streamlined the trade negotiation logic by simplifying the Marginal Rate of Substitution (MRS) formula and removing redundant resource 
1	1	29de897	fail	33	1	5	1620	48	676.80	0.3391	69	0.9911	6003	0.3433	0.5925	3.0215	FAIL	Simplified the `step` method by removing the `math` dependency, pre-calculating movement exponents, and streamlining the trade loop's conditional logic to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	35	1	5	1560	44	650.40	0.3645	68	1.0075	6217	0.3417	0.6443	2.9499	FAIL	Simplified the agent update cycle by consolidating the `living` list creation, removed the `math` dependency in favor of power operators, eliminated the random component in the movement tie-breaker, and streamlined the trade negotiation's conditional break statements.
1	1	29de897	crash	32	1	5	1375	45	577.00	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the movement search by removing the redundant random tie-breaker and the redundant distance check, and significantly reduced the trade negotiation complexity by removing the heavy utility-based termination conditions in favor of a more direct MRS and resource-availability check.
1	1	29de897	fail	32	1	5	1589	47	663.80	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Simplified the movement tie-breaker by removing the random component and streamlined the trade negotiation's conditional break statements to reduce AST nodes and cyclomatic complexity.
1	1	29de897	fail	32	1	5	1586	47	662.60	0.3553	66	0.9913	5450	0.3300	0.6266	2.8738	FAIL	Simplified the trade negotiation by removing the `math` dependency and consolidating the utility-based termination conditions, and streamlined the movement search by removing the random tie-breaker.
1	1	29de897	fail	32	1	5	1552	45	647.80	0.3566	61	1.0743	4843	0.3033	0.6292	2.8814	FAIL	Simplified movement tie-breaking and trade negotiation conditions, and removed the `math` dependency to reduce AST nodes and cyclomatic complexity.
1	1	29de897	crash	31	1	5	1337	41	559.40	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified agent initialization using vectorized `rng.integers`, consolidated the agent lifecycle by using a single `living` list, streamlined the movement search by removing the random tie-breaker, and significantly reduced trade negotiation complexity by simplifying the `while` loop's conditional 
1	1	29de897	pass	32	1	5	1484	46	621.20	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Simplified the movement utility and trade negotiation by removing redundant metabolic divisions and consolidating the Marginal Rate of Substitution (MRS) and utility comparison logic.
2	1	2b9e17b	fail	31	1	5	1266	40	530.40	0.3296	59	1.0434	87776	0.2933	0.5835	2.6319	FAIL	Simplified agent initialization using unpacking, removed tie-breaker logic in movement to reduce cyclomatic complexity, and replaced the complex trade negotiation `while` loop with a single-step `if` transaction to drastically reduce AST nodes and branching.
2	1	2b9e17b	fail	33	1	5	1438	42	600.40	0.3603	72	0.9786	5845	0.3617	0.6354	3.0786	FAIL	Simplified the agent lifecycle by shuffling `self.agents` directly to avoid creating a redundant `living` list, and streamlined the movement tie-breaker and trade loop conditions to reduce AST nodes and cyclomatic complexity.
2	1	2b9e17b	fail	32	1	5	1426	46	598.00	0.3543	61	1.0985	5091	0.3050	0.6254	2.8747	FAIL	Simplified agent initialization using vectorized `rng.integers` and removed the distance and random tie-breakers in the movement utility calculation to reduce AST nodes and cyclomatic complexity.
2	1	2b9e17b	fail	47	1	5	1407	40	586.80	0.3300	96	0.9396	9173	0.4800	0.5777	3.2294	FAIL	Simplified agent initialization using vectorized `rng.integers`, replaced dense movement and trade comprehensions with structured loops to reduce AST complexity, and streamlined the trade negotiation logic to reduce conditional branching.
2	1	2b9e17b	pass	32	1	5	1476	46	618.00	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Simplified the movement and trade search logic by removing redundant distance checks and consolidating conditional branches to reduce cyclomatic complexity and AST nodes.
3	1	33ff2e6	fail	33	1	5	1371	42	573.60	0.3467	60	1.1153	5022	0.2983	0.6085	2.7454	FAIL	Simplified movement tie-breaking and replaced the nested trade neighbor search with a single loop over living agents using Manhattan distance.
3	1	33ff2e6	fail	34	1	5	1419	44	594.00	0.3573	59	1.0774	4917	0.2967	0.6356	2.8407	FAIL	Simplified movement by removing the distance penalty and random tie-breaker, and streamlined the trade negotiation by consolidating the utility check and resource availability conditions.
3	1	33ff2e6	fail	33	1	5	1385	45	581.00	0.3483	76	1.1552	6372	0.3800	0.6153	2.8599	FAIL	Simplified agent initialization using vectorized range generation, removed tie-breaker components from the movement search to reduce AST depth, and streamlined the trade loop by removing redundant list filtering and condensing the negotiation logic.
3	1	33ff2e6	fail	33	1	5	1395	45	585.00	0.3617	64	1.0699	5428	0.3217	0.6360	2.8232	FAIL	Simplified the agent lifecycle by consolidating movement, metabolism, and trade into a single agent loop and streamlined the movement tie-breaker and trade negotiation logic to reduce structural depth.
3	1	33ff2e6	pass	33	1	5	1492	45	623.80	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Replace the occupancy dictionary with a 2D numpy array and store agent indices within the agent list to reduce AST nodes and cyclomatic complexity.
3	1	33ff2e6	fail	34	1	5	1418	46	594.80	0.3543	61	1.0985	5091	0.3050	0.6254	2.8747	FAIL	Simplified agent initialization using vectorized `rng.integers`, removed the `math` dependency, and reduced the complexity of the movement and trade loops by removing redundant tie-breakers and list comprehensions.
3	1	33ff2e6	pass	30	1	5	1429	44	598.00	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Simplified agent initialization using unpacking, consolidated the movement and metabolism steps, and replaced the nested trade neighbor search with a single list comprehension to reduce cyclomatic complexity and AST nodes.
4	1	916e946	fail	30	1	5	1409	40	587.60	0.3489	69	1.0181	6126	0.3450	0.6110	3.0778	FAIL	Consolidated the agent update cycle into a single loop over `self.agents` to eliminate redundant `living` list creations and merged the movement, metabolism, and trade logic into a single pass, while also simplifying the trade negotiation's `while` loop condition.
4	1	916e946	fail	35	1	5	1367	39	570.20	0.3440	70	1.0014	5972	0.3500	0.6039	3.1803	FAIL	Simplified the trade neighbor search by replacing the complex spatial list comprehension with a direct agent-to-agent loop and streamlined the `step` method to reduce redundant attribute lookups.
4	1	916e946	fail	60	1	5	1420	41	592.60	0.3534	67	0.9847	6296	0.3350	0.6189	3.1804	FAIL	Deconstructed the dense list comprehensions in the `step` method into structured loops to significantly reduce the AST node count and cyclomatic complexity, while maintaining the exact same movement and trade logic.
4	1	916e946	pass	44	1	5	1477	42	616.00	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Replace the high-AST list comprehensions in movement and trade search with structured nested loops to reduce AST nodes and cyclomatic complexity.
4	1	916e946	pass	44	1	5	1411	42	589.60	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Deconstructed high-AST list comprehensions in the movement and trade search into structured nested loops to drastically reduce the AST node count, while simplifying the trade negotiation loop and tie-breaker logic.
5	1	b3c761d	fail	36	1	4	1424	42	594.80	0.3456	69	0.9833	6250	0.3450	0.6036	3.0208	FAIL	Simplified the spatial search by pre-calculating vision-based offsets in `__init__` and consolidated the agent lifecycle (movement, metabolism, and trade) into a single loop to reduce cyclomatic complexity and AST nodes.
5	1	b3c761d	fail	45	1	5	1418	43	593.00	0.3061	48	1.0828	5616	0.2417	0.5391	3.3526	FAIL	Simplified the movement search by replacing the list-based `max()` approach with a direct comparison loop, and streamlined the trade negotiation by reducing the complexity of the conditional checks and variable assignments.
5	1	b3c761d	pass	42	1	5	1342	40	560.80	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Simplified the `step` method by consolidating movement and metabolism logic, and streamlining the trade negotiation loop by removing redundant utility variables and using direct identity checks.
6	1	e239a8a	pass	38	1	5	1354	40	565.60	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Pre-calculates vision-based spatial offsets and Manhattan distances in `__init__` to drastically reduce AST nodes and cyclomatic complexity in the `step` method's movement and trade loops.
6	1	e239a8a	pass	38	1	5	1343	40	561.20	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Pre-calculates vision-based spatial offsets and Manhattan distances in `__init__` to eliminate nested loops and redundant calculations in the `step` method's movement and trade phases.
6	1	e239a8a	pass	38	1	5	1354	40	565.60	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Pre-calculates vision-based spatial offsets and Manhattan distances in `__init__` to eliminate nested loops and redundant calculations in the `step` method's movement and trade phases.
6	1	e239a8a	pass	37	1	5	1344	41	562.20	0.3343	66	0.9665	6116	0.3300	0.5849	3.0611	PASS	Pre-calculates vision-based spatial offsets in `__init__` to eliminate nested loops and conditional distance checks in `step`, and refines the agent lifecycle to simplify the trade loop.
6	1	e239a8a	crash	42	1	5	1429	39	595.00	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Uses a single NumPy array for agent states and pre-calculates vision-based spatial offsets to eliminate nested loops and reduce AST complexity.
6	1	e239a8a	pass	38	1	5	1343	40	561.20	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Simplified the movement and trade neighbor search by pre-calculating vision-based spatial offsets and Manhattan distances in `__init__`, replacing nested loops and conditional distance checks with a single dictionary lookup in the `step` method.
6	1	e239a8a	pass	42	1	5	1359	40	567.60	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Simplified the spatial search in both movement and trade by pre-calculating vision-based offsets (including Manhattan distance) in `__init__`, replacing nested loops and conditional distance checks with single-level loops to significantly reduce AST nodes and cyclomatic complexity.
6	1	e239a8a	pass	41	1	5	1415	42	591.20	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Pre-calculates vision-based spatial offsets in `__init__` and replaces the high-AST movement list comprehension and `max()` call with a streamlined loop and tuple comparison.
6	1	e239a8a	pass	37	1	5	1342	41	561.40	0.3345	65	0.9847	5899	0.3267	0.5844	3.0911	PASS	Pre-calculates vision-based spatial offsets in `__init__` and streamlines the `step` method by using these offsets to eliminate nested loops and conditional distance checks.
